ам5;00066;0.33;102.5 103 102
ам5;00072;0.33;102.5 102.5 102
ам5;00087;0.17;101.5 101 101
ам5;00058;0.33;103.5 103 103
ам5;00061;0.33;103.5 102 102
ам5;00091;0.33;102.5 102 102.5
ам5;00081;0.33;104.5 104.5 105
ам5;00069;0.66;102.5 101 101.5
ам5;00094;0.5;102 101 101.5
ам5;00046;1;101 102 102
ам5;00047;0.5;103.5 102.5 102
ам5;00045;0.17;101 101.5 101.5
ам5;00037;0.17;101.5 102 101.5
ам5;00040;0.33;102.5 102.5 103
ам5;00035;0.33;101.5 101.5 101
ам5;00036;1.33;100.5 100.5 101
ам5;00039;0.5;102.5 102.5 103
ам5;00012;0.83;102.5 104 103.5
ам5;00043;0.66;99 100 100
ам5;00044;1;102 103.5 101.5
ам5;00038;0.33;104 104 104.5
ам5;00071;0.33;99 100 99.5
ам5;00051;0.17;103 102.5 103
ам5;00075;0.66;104 103 103
ам5;00053;0.5;103 103.5 103
ам5;00070;0.5;101 101.5 101.5
ам5;00096;0.66;102 101 101.5
ам5;00100;0.5;102 102.5 102.5
ам5;00056;0.33;103 102.5 103
ам5;00067;0.66;103 102.5 103
ам5;00057;0.66;104 104 103
ам5;00092;0.5;101 100 100.5
ам5;00063;0.66;101 100 101
ам5;00084;0.83;102 103.5 102.5
ам5;00095;0.66;101 100 101
ам5;00064;1.33;101.5 100 101
ам5;00052;0.83;101 102 101
ам5;00054;0.33;103 102 102.5
ам5;00079;0.33;102 102 102.5
ам5;00060;0.33;100 101 101
ам5;00099;0.66;100 101 99.5
ам5;00080;0.66;103 104 103
ам5;00059;0.66;102 102.5 103
ам5;00062;0.66;104.5 104.5 104
ам5;00078;0.33;103 103 103.5
ам5;00065;0.33;102.5 103 103
ам5;00082;0.33;101 101 100.5
ам5;00068;0.83;101 101 100
ам5;00083;0.33;102 104 102.5
ам5;00090;0.33;100 100 100.5
ам5;00073;0.33;102 103.5 102.5
ам5;00085;0.5;103.5 103 103
ам5;00089;0.5;101.5 100 100
ам5;00055;0.5;101.5 101 101
ам5;00098;0.83;101 100 100
ам5;00086;0.33;103 103 103
ам5;00076;0.33;101.5 101 101
ам5;00074;0.5;101 100 100.5
ам5;00077;0.33;100 101.5 101
ам5;00097;0.83;104 103 103.5
ам5;2546;41.2;41.2 41.3 41.5 40.5
ам5;642;41;40.5
ам5;1976;40.8;42 41 40.9 41.2 41.1 41 40.6
ам5;02388;0.33;101 101 101
ам5;02404;0.17;102 102 102
ам5;02450;0.17;100 100.5 100.5
ам5;02405;0.33;101 100.5 100.5
ам5;02421;0.33;103 103 102.5
ам5;02363;0.17;101.5 102 101.5
ам5;02362;0.17;101 101 101.5
ам5;02369;0.5;100 99.5 100
ам5;02443;0.5;102 101.5 102
ам5;02436;0.33;100 100.5 100.5
ам5;02429;0.33;104 104.5 104
ам5;02364;0.5;102 101 101
ам5;02417;0.17;100 100 101
ам5;02416;0.17;101 102 101
ам5;02452;0.17;101 101 101
ам5;02428;0.17;103 102.5 103
ам5;02456;0.5;101.5 100 100
ам5;02375;0.33;101 100.5 100.5
ам5;02425;0.33;101 100 100.5
ам5;02420;1;100 98.5 99.5
ам5;02385;0.33;102.5 101 101
ам5;02457;0.33;100 99.5 100
ам5;02455;0.33;103 102 102.5
ам5;02411;0.33;104.5 104 104
ам5;02409;0.17;100 100 100
ам5;02378;0.17;100 100.5 100
ам5;02449;0.17;103 102.5 103
ам5;02374;0.33;101 100.5 101
ам5;02454;0.33;102 102 101.5
ам5;02431;0.33;103.5 104 104.5
ам5;02466;0.67;100 99 100
ам5;02371;0.17;102 102 101.5
ам5;02412;0.17;103 102.5 102.5
ам5;02415;0.17;103 102.5 102.5
ам5;02467;0.17;104 104.5 104.5
ам5;02438;0.33;103 102.5 103
ам5;02432;0.33;101.5 100 100
ам5;02395;0.33;102 101.5 101.5
ам5;02365;0.67;102.5 101 101.5
ам5;02422;0.67;102.5 102 102
ам5;02451;1.17;104 102 104
ам5;02376;0.5;100.5 100 100.5
ам5;02461;0.5;100 100.5 100.5
ам5;02462;0.33;101.5 101.5 101
ам5;02389;0.67;102.5 101.5 101.5
ам5;02453;0.67;102 101.5 101.5
ам5;02447;0.33;101.5 101.5 101.5
ам5;02440;0.33;101.5 101 101.5
ам5;02458;0.33;101 102.5 101.5
ам5;02410;0.33;103.5 102 102
ам5;02419;0.33;102.5 102 102.5
ам5;02408;0.33;104.5 104.5 105
ам5;02379;0.5;103 102.5 103
ам5;02387;0.17;101.5 102 101
ам5;02360;0.17;103.5 104 104
ам5;02393;0.17;105 104.5 104.5
ам5;02359;0.67;101.5 101 101
ам5;02426;0.5;105 104.5 104.5
ам5;02399;0.5;102 101 101
ам5;02418;0.5;101 100 101
ам5;02383;0.5;100 99 100
ам5;02435;0.87;102 100 101
ам5;02414;0.33;103 104 103
ам5;02445;0.33;104.5 104 104
ам5;02373;0.33;101 102 102
ам5;02380;0.87;102.5 100 101
ам5;02401;0.33;101.5 101.5 101
ам5;02361;0.33;101 100 101
ам5;02384;0.33;102.5 103 103
ам5;02402;0.33;102 101.5 102
ам5;02394;0.33;102 102.5 102
ам5;02423;0.33;102.5 101 102
ам5;02391;0.33;104.5 104.5 104.5
ам5;02433;0.87;102 101 101
ам5;02398;0.87;101.5 101.5 101
ам5;02427;0.17;103 103 103
ам5;02377;0.17;101.5 101 101.5
ам5;02437;1;101 99 101
ам5;02448;0.33;101 101 101
ам5;02407;0.87;105 104 104
ам5;02441;0.67;104.5 104.5 104
ам5;02400;0.67;101 101 101.5
ам5;02372;0.17;104.5 104 104
ам5;02424;0.67;104 102.5 103
ам5;02397;0.67;102 102.5 102
ам5;02446;0.67;105 104.5 105
ам5;02386;0.83;104 103 103
ам5;02390;0.83;101 100 100.5
ам5;02382;0.67;100 100 100.5
ам5;02368;0.67;104 103 103.5
ам5;02413;0.67;105 104.5 104.5
ам5;02370;0.67;100 101 101
ам5;02367;0.67;103 102.5 102.5
ам5;02442;0.67;105 104 104.5
ам5;02430;0.67;102 101.5 102
ам5;02403;0.5;101.5 101.5 101
ам5;02406;0.5;101 100 101
ам5;02392;0.67;100 99.5 100
ам5;02439;0.33;100 101 100
ам5;02381;0.33;104 103.5 104
ам5;74;23.9;47.3 23.4 46.2 24.7 48.6 25.4 45.9
